ICES_Area,Metier6_FishingActivity
67,LLS_DEF_0_0_0
67,LLS_FIF_0_0_0
67,LLS_MOL_0_0_0
67,LLS_SPF_0_0_0
67,LTL_LPF_0_0_0
67,MIS_CEP_0_0_0
67,MIS_CRU_0_0_0
67,MIS_DEF_0_0_0
67,MIS_DWF_0_0_0
67,MIS_LPF_0_0_0
67,MIS_MCF_0_0_0
67,MIS_MIS_0_0_0
67,MIS_MOL_0_0_0
67,MIS_SPF_0_0_0
67,OTB_CEP_>=120_0_0
67,OTB_CEP_>0_0_0
67,OTB_CEP_70-119_0_0
67,OTB_CRU_>=120_0_0
67,OTB_CRU_>0_0_0
67,OTB_CRU_32-69_0_0
67,OTB_CRU_70-119_0_0
67,OTB_DEF_>=120_0_0
67,OTB_DEF_>0_0_0
67,OTB_DEF_70-119_0_0
67,OTB_MCF_>=120_0_0
67,OTB_MCF_>0_0_0
67,OTB_MCF_70-119_0_0
67,OTB_MDD_>=120_0_0
67,OTB_MDD_>0_0_0
67,OTM_DEF_>=120_0_0
67,OTM_DEF_>0_0_0
67,OTM_LPF_>=120_0_0
67,OTM_LPF_>0_0_0
67,OTM_LPF_70-119_0_0
67,OTM_MCF_>=120_0_0
67,OTM_MCF_>0_0_0
67,OTM_MCF_70-119_0_0
67,OTM_SPF_>=120_0_0
67,OTM_SPF_>0_0_0
67,OTM_SPF_32-69_0_0
67,OTM_SPF_70-119_0_0
67,PS_LPF_>=120_0_0
67,PS_LPF_>0_0_0
67,PS_LPF_10-31_0_0
67,PS_LPF_32-69_0_0
67,PS_LPF_70-119_0_0
67,PS_SPF_>=120_0_0
67,PS_SPF_>0_0_0
67,PS_SPF_10-31_0_0
67,PS_SPF_32-69_0_0
67,PS_SPF_70-119_0_0
67,PTM_LPF_>=120_0_0
67,PTM_LPF_>0_0_0
67,PTM_LPF_32-69_0_0
67,PTM_LPF_70-119_0_0
67,OTB_MDD_70-119_0_0
67,OTM_DEF_70-119_0_0
67,OTM_CRU_>0_0_0
67,OTM_CRU_16-31_0_0
71,DIV_MOL_0_0_0
71,FPN_LPF_>0_0_0
71,FPO_CRU_>0_0_0
71,FPO_DEF_>0_0_0
71,FPO_FIF_>0_0_0
71,LH_DEF_0_0_0
71,LH_FIF_0_0_0
71,LH_LPF_0_0_0
71,LH_MOL_0_0_0
71,LH_SPF_0_0_0
71,LHM_DEF_0_0_0
71,LHM_FIF_0_0_0
71,LHM_LPF_0_0_0
71,LHM_MOL_0_0_0
71,LHM_SPF_0_0_0
